CPU(%),RAM(MB)
8.7,46.8
7.6,47.1
6.7,47.1
6.4,47.2
6.1,47.2
5.9,47.2
5.5,47.2
5.3,47.2
5.3,47.2
5.2,47.2
4.9,47.7
5.1,47.9
5.2,48.0
5.4,48.0
5.5,48.1
5.6,48.1
6.3,52.4
6.6,52.4
7.0,52.4
7.5,52.4
7.8,52.4
8.1,52.4
8.4,52.4
8.6,52.4
8.7,52.5
9.0,52.5
9.2,52.5
9.4,52.5
9.6,52.5
9.8,52.5
10.0,52.5
10.2,52.5
10.3,52.6
10.5,52.7
10.8,52.7
11.0,52.7
11.3,52.7
11.5,52.7
11.7,52.7
11.8,52.7
11.9,52.7
12.0,52.7
12.1,52.7
12.3,52.7
12.5,52.8
12.6,52.8
12.7,52.8
12.9,52.8
13.0,52.8
13.1,52.8
13.2,52.8
13.3,52.8
13.4,52.8
13.5,52.8
13.6,52.8
13.7,52.8
13.9,52.9
14.1,53.0
14.1,53.1
14.3,53.1
14.4,53.2
14.4,53.3
14.4,53.4
14.4,53.5
14.4,53.5
14.4,53.5
14.4,53.5
14.4,53.6
14.4,53.6
14.5,53.6
14.5,53.6
14.5,53.6
14.5,53.6
14.6,53.6
14.7,53.6
14.8,53.6
14.9,53.7
14.9,53.7
14.9,53.7
14.9,53.7
15.0,53.7
15.0,53.7
15.1,53.7
15.1,53.7
15.2,53.7
15.3,53.7
15.3,53.7
15.3,53.7
15.2,53.7
15.3,53.7
15.3,53.7
15.4,57.5
15.6,57.5
15.6,57.5
15.8,57.5
16.0,57.5
16.0,57.5
16.1,57.5
16.2,57.5
16.2,57.5
16.2,57.5
16.2,57.5
16.3,57.5
16.3,57.5
16.3,57.5
16.3,57.5
16.4,57.5
16.4,57.5
16.4,57.5
16.4,57.5
16.5,57.5
16.6,57.5
16.7,57.5
16.7,57.5
16.8,57.5
16.9,57.6
16.9,57.6
16.9,57.6
16.9,57.6
17.0,57.6
17.0,57.6
17.0,57.6
17.0,57.6
17.1,57.6
17.1,57.6
17.1,57.6
17.0,57.6
17.0,57.6
17.0,57.6
17.0,57.6
17.0,57.6
17.0,57.6
17.1,57.6
17.0,57.6
17.1,57.6
17.1,57.6
17.1,57.6
17.1,57.6
17.2,57.6
17.2,57.6
17.3,57.6
17.4,57.6
17.3,57.6
17.3,57.6
17.3,57.6
17.4,57.7
17.5,56.4
17.7,62.6
17.7,63.9
17.9,64.5
18.0,64.5
18.1,64.5
18.1,64.5
18.2,64.6
18.3,64.6
18.3,64.6
18.3,64.6
18.3,64.6
18.3,64.6
18.3,64.6
18.3,64.6
18.4,64.6
18.4,64.6
18.4,64.6
18.5,64.6
18.5,64.6
18.5,64.6
18.5,64.6
18.4,64.6
18.4,64.6
18.4,64.6
18.4,64.6
18.4,64.6
18.4,64.6
18.4,64.6
18.5,64.6
18.4,64.6
18.5,64.6
18.5,64.6
18.5,64.6
18.5,64.6
18.5,64.6
18.5,64.6
18.6,64.6
18.6,64.6
18.6,64.6
18.7,64.6
18.7,64.6
18.7,64.6
18.7,64.6
18.7,64.6
18.7,64.6
18.7,64.6
18.7,64.6
18.8,64.6
18.8,64.6
18.8,64.6
18.8,64.6
18.8,64.6
18.9,64.6
18.9,64.6
18.9,64.6
19.0,64.6
19.0,64.6
19.0,64.6
19.0,64.6
19.0,64.6
19.0,64.6
19.0,64.6
19.1,64.6
19.1,64.6
19.1,64.6
19.1,64.6
19.1,64.6
19.1,64.6
19.2,64.6
19.2,64.6
19.2,64.6
19.2,64.6
19.2,64.6
19.3,64.6
19.3,64.6
19.3,64.6
19.4,64.6
19.4,64.6
19.4,64.6
19.4,64.6
19.4,64.6
19.4,64.6
19.4,65.1
19.4,65.1
19.5,66.2
19.5,66.2
19.5,66.2
19.5,66.2
19.5,66.2
19.6,66.2
19.6,66.2
19.6,66.2
19.6,66.2
19.7,66.2
19.7,66.2
19.7,66.2
19.8,66.2
19.8,66.2
19.8,66.2
19.8,66.2
19.8,66.2
19.8,66.2
19.9,66.2
19.9,66.2
19.9,66.2
19.9,66.2
20.0,66.2
20.0,66.2
20.0,66.2
20.0,66.2
20.0,66.2
20.0,66.2
20.1,66.2
20.1,66.2
20.1,66.2
20.1,66.2
20.2,66.2
20.2,66.2
20.2,66.2
20.2,66.2
20.2,66.2
20.2,66.2
20.3,66.2
20.3,66.2
20.3,66.2
20.3,66.2
20.3,66.2
20.4,66.2
20.4,66.2
20.4,66.2
20.4,66.2
20.4,66.2
20.4,66.2
20.4,66.2
20.4,66.3
20.5,66.3
20.6,68.6
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.7,69.4
20.8,69.4
20.7,69.4
20.8,69.4
20.8,69.4
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.9,74.3
20.9,74.3
20.9,74.3
20.9,74.3
20.9,74.3
20.9,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.7,74.3
20.7,74.3
20.7,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.8,74.3
20.7,74.3
20.7,70.3
20.9,71.8
20.9,71.8
20.9,73.1
20.9,73.1
20.9,73.1
20.9,73.1
20.9,73.1
20.9,73.1
20.9,73.3
20.9,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.0,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.1,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.2,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.3,73.3
21.4,73.3
21.4,73.3
21.4,73.3
21.4,73.3
21.4,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.6,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.5,73.3
21.7,74.1
21.7,74.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.8,75.1
21.8,75.1
21.8,75.1
21.8,75.1
21.8,75.1
21.8,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.8,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.8,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.1
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.6,75.2
21.6,75.2
21.6,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.2
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,75.4
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.6,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
21.7,90.0
22.0,91.8
22.0,91.8
22.0,91.8
22.0,93.4
22.0,93.4
22.0,93.4
22.1,93.4
22.1,93.4
22.1,93.4
22.1,93.4
22.1,93.4
22.1,93.4
22.1,93.4
22.2,93.4
22.2,93.4
22.2,93.4
22.2,93.4
22.2,93.4
22.2,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.3,93.4
22.4,93.4
22.4,93.4
22.4,93.4
22.4,93.4
22.4,93.4
22.4,93.4
22.4,93.4
22.4,93.4
22.7,81.2
22.7,81.2
22.7,81.2
22.7,82.5
22.7,82.6
22.8,82.6
22.8,82.6
22.8,82.6
22.8,82.6
22.8,82.6
22.8,82.6
22.8,82.6
22.8,82.6
22.8,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
22.9,82.6
23.3,85.1
23.3,85.1
23.3,85.1
23.3,85.1
23.3,85.7
23.3,85.7
23.3,85.7
23.3,85.7
23.3,85.7
23.3,85.7
23.3,85.7
23.3,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.5,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,85.7
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,95.5
23.4,100.4
23.4,100.4
23.4,100.4
23.4,100.4
23.4,100.4
23.4,100.4
23.5,101.1
23.8,102.3
23.7,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.7,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,102.3
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.8,105.6
23.9,105.6
23.9,105.6
23.9,105.6
23.9,105.6
23.9,105.6
23.9,105.6
24.0,105.6
24.0,105.6
24.0,105.6
24.0,105.7
24.1,105.7
24.1,105.7
24.1,105.7
24.2,105.7
24.2,105.7
24.3,94.3
24.7,94.3
