CPU(%),RAM(MB)
11.1,46.2
9.5,46.6
8.2,46.6
7.7,46.7
7.4,46.7
6.7,46.7
6.4,46.7
6.3,46.7
6.0,46.7
5.8,46.7
5.7,47.0
5.8,47.4
5.7,47.4
5.9,47.4
5.9,47.5
5.9,47.5
6.6,51.8
7.0,51.8
7.6,51.9
8.0,51.9
8.5,51.9
8.8,51.9
9.1,51.9
9.3,51.9
9.5,51.9
9.7,51.9
10.0,51.9
10.3,51.9
10.6,51.9
10.8,51.9
10.9,51.9
11.2,51.9
11.4,52.1
11.5,52.1
11.6,52.1
11.7,52.1
11.9,52.1
12.1,52.1
12.2,52.1
12.2,52.1
12.3,52.1
12.2,52.1
12.1,52.1
12.0,52.1
11.8,52.1
12.0,52.1
12.0,52.1
12.2,52.2
12.3,52.2
12.4,52.2
12.5,52.2
12.6,52.2
12.8,52.2
12.9,52.2
13.0,52.2
13.1,52.2
13.2,52.2
13.2,52.2
13.3,52.2
13.4,52.2
13.4,52.2
13.5,52.2
13.6,52.2
13.6,52.3
13.7,52.3
13.7,52.3
13.7,52.3
13.8,52.3
13.8,52.3
13.8,52.3
13.8,52.3
13.8,52.3
13.8,52.3
13.8,52.3
13.8,52.3
13.8,52.3
13.9,52.3
13.9,52.3
13.9,52.3
14.0,52.3
14.0,52.3
14.0,52.3
14.1,52.3
14.1,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.3,52.3
14.4,52.3
14.3,52.3
14.3,52.3
14.2,52.3
14.1,52.3
14.0,52.3
14.1,52.3
14.1,52.3
14.1,52.3
14.1,52.3
14.1,52.3
14.1,52.3
14.2,52.3
14.2,52.3
14.2,52.3
14.3,52.3
14.3,52.3
14.4,52.4
14.4,52.4
14.4,52.4
14.5,52.4
14.5,52.4
14.5,52.4
14.6,52.4
14.6,52.4
14.6,52.4
14.5,52.4
14.5,52.4
14.5,52.4
14.5,52.4
14.6,52.4
14.6,52.4
14.6,52.4
14.6,52.4
14.6,52.5
14.6,52.5
14.7,52.5
14.7,52.5
14.7,52.5
14.7,52.5
14.8,52.5
14.8,52.6
14.9,52.6
14.9,52.7
15.0,52.7
15.0,52.7
15.0,52.7
15.1,52.7
15.2,52.8
15.2,52.8
15.3,52.8
15.3,52.8
15.3,52.8
15.3,52.9
15.2,52.9
15.2,52.9
15.2,52.9
15.3,52.9
15.3,52.9
15.4,52.9
15.4,52.9
15.4,52.9
15.4,52.9
15.5,53.0
15.5,53.0
15.6,53.0
15.6,53.0
15.6,53.0
15.6,53.0
15.7,53.0
15.7,53.0
15.7,53.0
15.7,53.0
15.8,53.0
15.8,53.0
15.8,53.0
15.9,53.0
15.9,53.0
15.9,53.0
16.0,53.0
16.0,53.0
16.0,53.0
16.0,53.0
16.1,53.0
16.1,53.0
16.1,53.0
16.2,53.0
16.2,53.0
16.2,53.0
16.3,53.0
16.3,53.0
16.3,53.0
16.3,53.0
16.3,53.0
16.3,53.0
16.4,53.0
16.4,53.0
16.4,53.0
16.4,53.0
16.5,53.0
16.5,53.0
16.5,53.0
16.5,53.0
16.6,53.0
16.6,53.0
16.7,53.0
16.7,53.0
16.7,53.0
16.8,53.0
16.8,53.0
16.8,53.0
16.8,53.0
16.8,53.0
16.8,53.0
16.8,53.0
16.7,53.0
16.7,53.0
16.7,53.0
16.7,53.0
16.7,53.0
16.7,53.0
16.8,53.0
16.8,53.0
16.8,53.1
16.8,53.1
16.9,56.8
16.9,56.8
16.9,56.8
17.0,56.8
17.0,56.8
17.0,56.8
17.1,57.4
17.1,57.4
17.1,57.4
17.1,57.4
17.2,57.4
17.2,57.4
17.2,57.4
17.2,57.4
17.3,57.4
17.3,57.4
17.3,57.4
17.4,57.4
17.4,57.4
17.4,57.4
17.4,57.4
17.5,57.4
17.5,57.4
17.5,57.4
17.5,57.4
17.6,57.4
17.6,57.4
17.6,57.4
17.6,57.4
17.6,57.4
17.7,57.4
17.7,57.4
17.7,57.4
17.7,57.4
17.7,57.4
17.8,57.4
17.8,57.4
17.8,57.4
17.8,57.4
17.8,57.4
17.9,57.4
17.9,57.4
17.9,57.4
17.9,57.4
17.9,57.4
18.0,57.4
18.0,57.4
18.0,57.4
18.0,57.4
18.0,57.4
18.1,57.4
18.1,57.4
18.1,57.4
18.1,57.4
18.2,57.4
18.2,57.4
18.2,57.4
18.2,57.4
18.3,57.4
18.3,57.4
18.3,57.4
18.3,57.4
18.4,57.4
18.4,57.4
18.4,57.4
18.4,57.4
18.4,57.4
18.4,57.4
18.5,57.4
18.5,57.4
18.5,57.4
18.5,57.4
18.6,57.4
18.6,57.4
18.6,57.4
18.6,57.4
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.5,57.5
18.5,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.6,57.5
18.7,57.5
18.7,57.5
18.7,57.5
18.7,57.5
18.7,57.5
18.8,57.5
18.8,57.6
18.8,60.1
18.8,62.3
18.9,63.6
18.9,63.6
18.9,64.3
19.0,65.9
19.0,66.2
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.0,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.1,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.3,66.5
19.3,66.5
19.3,66.5
19.3,66.5
19.3,66.5
19.3,66.5
19.3,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.2,66.5
19.3,66.5
19.3,66.5
19.3,66.5
19.3,66.5
19.3,66.5
