CPU(%),RAM(MB)
63.6,205.2
54.2,207.6
55.3,216.6
48.9,217.0
43.6,217.0
39.5,217.2
36.3,217.3
33.1,217.3
30.6,217.3
28.3,217.3
26.3,217.3
25.0,217.8
24.4,218.1
23.5,218.5
22.9,218.6
22.4,218.6
21.8,219.2
23.3,240.1
23.4,241.1
23.3,241.3
24.1,245.0
24.3,245.1
24.3,245.1
25.0,247.5
24.8,247.5
24.8,247.5
25.4,250.5
25.4,250.8
25.4,250.8
26.0,252.9
26.0,252.9
26.0,253.0
26.6,255.0
26.6,255.0
26.6,255.0
27.0,258.0
26.8,258.1
26.8,258.1
27.2,262.5
27.4,262.5
27.3,262.5
27.8,267.7
27.8,267.7
27.8,267.7
28.2,271.8
28.1,271.8
28.2,272.0
28.7,275.2
28.7,275.8
28.7,275.8
29.2,282.1
29.2,282.1
29.2,282.1
29.5,283.5
29.5,283.5
29.4,283.5
29.7,285.1
29.7,285.1
29.7,285.1
30.4,288.8
30.4,290.3
30.4,290.3
30.7,291.7
30.6,291.7
30.6,291.7
30.9,296.9
30.8,296.9
30.9,296.9
31.3,298.2
31.3,298.2
31.2,298.2
31.5,300.3
31.5,300.3
31.5,300.3
31.7,302.1
31.7,302.1
31.6,302.1
31.8,304.1
31.7,304.1
31.6,304.1
31.8,305.1
31.9,309.6
31.9,309.6
31.7,309.7
31.9,315.3
31.8,315.3
31.7,315.3
32.0,320.9
32.0,320.9
32.0,320.9
31.9,320.9
32.1,321.8
32.1,321.8
32.0,321.8
32.2,326.5
32.2,326.5
32.2,326.5
32.4,328.3
32.3,328.3
32.3,328.3
32.5,334.1
32.4,334.1
32.4,334.1
32.6,336.0
32.5,336.0
32.4,336.0
32.6,337.0
32.6,337.0
32.6,337.0
32.7,337.8
32.6,337.8
32.6,337.8
32.8,339.1
32.8,339.1
32.8,339.1
32.9,339.9
32.8,339.9
32.7,339.9
33.0,340.7
33.1,341.3
33.0,341.3
33.2,342.2
33.2,342.2
33.3,342.2
33.4,342.7
33.4,342.7
33.4,342.7
33.5,344.9
33.4,344.9
33.4,344.9
33.5,345.5
33.4,345.5
33.4,345.5
33.5,346.1
33.4,346.1
33.3,346.1
33.5,347.0
33.5,347.0
33.5,347.0
33.7,347.4
33.7,347.4
33.6,347.4
33.7,348.3
33.6,348.3
33.6,348.3
33.7,349.2
33.6,349.2
33.5,349.2
33.5,349.8
33.5,349.8
33.5,349.8
33.5,350.8
33.5,350.8
33.4,350.8
33.5,352.0
33.5,352.0
33.5,352.0
33.6,352.6
33.6,352.6
33.5,352.6
33.6,353.7
33.5,353.7
33.5,353.7
33.6,354.3
33.5,354.3
33.5,354.3
33.5,355.0
33.4,355.0
33.3,355.0
33.3,355.8
33.3,356.7
33.2,356.7
33.1,356.7
33.2,358.7
33.2,358.7
33.2,358.7
33.5,366.5
33.4,366.5
33.4,366.5
33.8,368.2
33.7,368.2
33.7,368.2
34.0,369.9
34.0,369.9
34.0,369.9
34.3,370.2
34.4,373.0
34.4,373.0
34.7,376.5
34.7,376.5
34.7,376.5
34.9,380.2
34.8,380.2
34.8,380.2
34.9,381.5
34.8,381.5
34.8,381.5
34.9,382.4
34.9,382.4
34.8,382.4
34.8,382.4
34.8,385.1
34.8,385.1
34.8,385.1
34.8,386.4
34.8,386.4
34.7,386.4
34.7,386.4
35.1,390.9
35.2,392.2
35.2,392.2
35.3,393.0
35.2,393.0
35.2,393.0
35.2,395.6
35.1,395.6
35.1,395.6
35.2,399.4
35.1,399.4
35.1,399.4
35.3,401.2
35.3,401.2
35.2,401.2
35.3,405.7
35.2,405.7
35.2,405.7
35.3,406.5
35.3,408.5
35.3,408.5
35.5,409.1
35.4,411.0
35.4,411.0
35.5,411.4
35.5,412.8
35.5,412.8
35.6,413.2
35.7,413.4
35.6,413.4
35.6,413.4
35.7,414.0
35.7,414.0
35.7,414.0
35.8,414.4
35.8,414.4
35.8,414.4
36.0,415.2
35.9,415.2
35.9,415.2
36.1,416.3
36.1,416.3
36.0,416.3
36.2,422.4
36.2,422.4
36.1,422.4
36.2,423.1
36.2,423.1
36.2,423.1
36.3,424.2
36.3,424.2
36.2,424.2
36.3,424.8
36.4,425.0
36.3,425.0
36.3,425.0
36.5,425.6
36.5,425.6
36.4,425.6
36.6,426.5
36.6,426.5
36.6,426.6
36.7,427.5
36.7,427.5
36.6,427.5
36.8,428.6
36.8,428.6
36.7,428.6
36.9,429.3
36.9,429.3
36.8,429.3
37.0,430.0
36.9,430.0
36.9,430.0
37.1,436.5
37.1,436.5
37.1,436.5
37.1,438.0
37.1,438.0
37.0,438.0
37.2,438.5
37.2,439.5
37.2,439.5
37.4,445.9
37.3,445.9
37.3,445.9
37.5,446.6
37.5,446.6
37.4,446.6
37.6,447.5
37.6,447.5
37.6,447.5
37.6,448.0
37.5,448.0
37.5,448.0
37.5,448.9
37.5,448.9
37.4,448.9
37.4,449.6
37.4,451.7
37.4,451.7
37.4,452.4
37.4,452.4
37.3,452.4
37.4,452.6
37.4,453.6
37.3,453.6
37.3,453.9
37.3,454.2
37.3,454.2
37.3,454.2
37.3,454.8
37.2,454.8
37.3,454.9
37.2,455.0
37.2,455.0
37.2,455.3
37.2,455.3
37.2,455.3
37.2,455.5
37.2,455.5
37.2,455.5
37.2,455.8
37.2,455.8
37.2,455.8
37.2,456.6
37.1,456.6
37.1,456.6
37.1,457.5
37.1,457.5
37.1,457.5
37.1,457.5
37.1,457.8
37.0,457.8
37.0,457.8
37.1,458.7
37.1,458.7
37.0,458.7
37.0,459.6
37.0,459.6
37.0,459.6
37.1,460.5
37.1,460.5
37.1,460.5
37.2,461.4
37.1,461.4
37.1,461.4
37.2,462.3
37.2,462.3
37.2,462.3
37.3,463.1
37.3,463.1
37.3,463.1
37.4,463.9
37.4,463.9
37.4,463.9
37.4,464.7
37.3,464.7
37.2,464.7
37.2,465.9
37.2,465.9
37.2,465.9
37.2,466.8
37.2,466.8
37.2,466.8
37.3,467.7
37.2,467.7
37.2,467.7
37.2,468.5
37.2,468.5
37.2,468.5
37.2,469.1
37.2,469.3
37.2,469.3
37.2,469.4
37.2,469.7
37.2,469.7
37.2,470.3
37.2,470.5
37.2,470.5
37.2,471.4
37.2,471.4
37.2,471.4
37.2,471.4
37.2,471.9
37.2,471.9
37.2,471.9
37.2,472.2
37.2,472.2
37.1,472.2
37.2,473.4
37.2,473.4
37.2,473.4
37.2,474.1
37.2,474.1
37.2,474.1
37.3,474.8
37.2,474.8
37.2,474.8
37.2,474.9
37.2,474.9
37.2,474.9
37.2,475.3
37.2,475.3
37.1,475.3
37.1,475.4
37.2,475.8
37.2,475.8
37.2,475.8
37.2,476.8
37.2,476.8
37.2,476.8
37.2,477.1
37.2,477.1
37.2,477.1
37.2,477.1
37.4,477.9
37.6,484.4
37.6,484.7
37.6,485.2
37.6,485.2
37.6,485.2
37.6,485.5
37.6,485.5
37.6,485.5
37.6,486.1
37.6,486.1
37.6,486.1
37.6,486.6
37.5,486.6
37.5,486.6
37.5,487.5
37.5,487.5
37.5,487.5
37.5,488.1
37.5,488.1
37.5,488.1
37.5,488.6
37.5,488.6
37.4,488.6
37.4,488.6
37.4,489.5
37.4,489.5
37.4,489.5
37.6,490.3
37.5,490.3
37.5,490.3
37.5,491.3
37.5,491.3
37.5,491.3
37.6,491.8
37.6,491.8
37.5,491.8
37.6,492.4
37.5,492.4
37.5,492.4
37.5,492.5
37.5,493.5
37.5,493.5
37.4,493.5
37.5,494.0
37.6,516.7
37.6,516.7
37.5,516.7
37.7,536.0
37.7,542.8
37.7,542.8
37.6,542.8
37.8,570.3
37.8,570.3
37.7,570.3
37.8,571.3
37.9,571.6
37.9,571.6
37.9,571.9
38.0,572.6
38.0,572.6
37.9,572.6
38.1,573.6
38.0,573.6
38.0,573.6
38.2,574.6
38.2,574.6
38.2,574.6
38.3,575.7
38.3,575.7
38.3,575.7
38.5,576.4
38.5,576.7
38.5,576.7
38.7,577.3
38.8,577.7
38.8,577.7
38.9,578.3
39.0,578.6
39.0,578.6
39.1,579.2
39.2,579.5
39.2,579.5
39.3,580.1
39.5,580.4
39.5,580.4
39.5,581.1
39.7,581.3
39.7,581.3
39.8,581.7
39.9,582.0
39.9,582.0
39.9,583.0
40.1,583.1
40.1,583.1
40.2,583.8
40.3,583.8
40.3,583.8
40.4,584.2
40.5,584.2
40.5,584.2
40.6,584.8
40.7,584.9
40.7,584.9
40.8,585.7
40.9,585.7
40.9,585.7
40.9,586.2
41.0,586.3
41.0,586.3
41.1,586.5
41.2,586.6
41.2,586.6
41.2,586.6
41.3,587.4
41.2,587.4
41.2,587.4
41.4,587.9
41.3,587.9
41.3,587.9
41.5,588.6
41.4,588.6
41.4,588.6
41.5,589.1
41.5,589.1
41.5,589.1
41.5,589.6
41.6,596.4
41.6,596.4
41.5,596.4
41.7,597.0
41.7,597.0
41.6,597.0
41.8,603.8
41.7,603.8
41.7,603.8
41.8,604.7
41.8,608.6
41.8,608.6
41.8,608.8
41.9,614.1
41.9,614.1
41.8,614.1
42.0,615.1
41.9,615.1
41.9,615.1
42.1,625.2
42.0,625.2
42.0,625.2
42.1,626.0
42.1,635.8
42.1,635.8
42.1,636.7
42.1,638.5
42.1,638.5
42.1,639.5
42.1,649.5
42.1,649.5
42.0,649.5
42.1,641.6
42.1,641.6
42.0,641.6
42.1,652.4
42.1,652.4
42.0,652.4
42.1,652.9
42.1,653.2
42.0,653.2
42.0,653.2
42.0,654.1
42.0,654.1
42.0,654.1
42.0,655.2
41.9,655.2
41.9,655.2
41.9,655.8
41.9,655.8
41.9,655.8
41.9,656.8
41.9,656.8
41.8,656.8
41.9,657.3
41.9,657.5
41.8,657.5
41.8,657.5
41.8,658.2
41.8,658.2
41.8,658.2
41.8,658.9
41.8,658.9
41.8,658.9
41.8,659.5
41.8,659.5
41.8,659.5
41.8,660.5
41.8,660.5
41.7,660.5
41.7,660.7
41.7,661.2
41.7,661.2
41.7,661.2
41.7,662.0
41.7,662.0
41.7,662.0
41.7,662.5
41.7,662.5
41.6,662.5
41.6,662.5
41.6,663.6
41.6,663.6
41.6,663.6
41.6,664.6
41.6,664.6
41.6,664.6
41.6,665.3
41.6,665.3
41.5,665.3
41.6,666.4
41.6,666.4
41.5,666.4
41.5,666.7
41.5,667.1
41.5,667.1
41.5,667.1
41.5,667.9
41.5,667.9
41.5,667.9
41.5,659.4
41.5,659.4
41.4,659.4
41.4,659.7
41.4,669.4
41.4,669.4
41.4,669.4
41.4,660.9
41.4,660.9
41.4,660.9
41.4,661.8
41.4,661.8
41.4,661.8
41.4,661.8
41.4,672.6
41.4,672.6
41.4,672.6
41.3,672.6
41.3,663.6
41.3,663.6
41.3,663.6
41.2,663.9
41.2,674.4
41.2,674.4
41.2,674.4
41.2,675.4
41.2,675.4
41.2,675.4
41.2,675.4
41.2,666.5
41.1,666.5
41.1,666.5
41.1,677.2
41.1,677.2
41.1,677.2
41.1,678.0
41.1,678.0
41.1,678.0
41.1,678.2
41.1,679.8
41.0,679.8
41.0,679.8
41.0,680.7
41.0,680.7
41.0,680.7
41.0,685.3
41.0,681.4
41.0,681.4
41.0,682.0
41.0,683.5
41.0,683.5
40.9,683.5
40.9,674.2
40.9,674.2
40.9,674.2
40.9,685.3
40.9,685.3
40.9,685.3
40.9,696.4
40.9,686.1
40.9,686.1
40.8,686.1
40.9,676.5
40.9,676.5
40.8,676.5
40.9,687.7
40.9,687.7
40.9,687.7
40.9,688.9
40.9,688.9
40.9,688.9
40.9,689.8
40.9,689.8
40.8,689.8
40.9,690.2
40.9,690.3
40.8,690.3
40.8,690.3
40.8,680.2
40.8,680.2
40.8,680.2
40.8,681.1
40.8,681.1
40.8,681.1
40.8,681.4
40.8,693.9
40.8,693.9
40.8,693.9
40.8,696.3
40.8,696.3
40.8,696.3
40.9,696.3
41.0,696.3
41.1,696.3
41.2,698.6
41.3,702.3
41.3,703.0
41.3,703.0
41.3,703.0
41.3,703.2
41.5,736.4
41.6,736.5
41.5,736.5
41.6,736.7
41.5,736.7
41.5,736.7
41.5,736.7
41.6,787.8
41.7,787.8
41.7,787.8
41.8,834.1
41.8,834.2
41.8,834.2
41.8,834.8
42.0,884.0
42.0,884.0
41.9,884.0
42.1,922.8
42.1,916.1
42.1,916.1
42.2,916.4
42.3,924.4
42.3,924.4
42.3,924.6
42.4,920.5
42.4,920.5
42.3,920.5
42.5,920.8
42.5,920.8
42.4,920.8
42.5,921.8
42.4,921.8
42.4,921.8
42.4,921.8
42.5,952.1
42.6,952.1
42.5,952.1
42.6,953.1
42.6,953.1
42.6,953.1
42.7,953.6
42.7,956.2
42.7,956.2
42.7,956.3
42.9,957.1
42.9,957.1
42.9,957.1
43.0,958.1
43.0,958.1
43.0,958.1
43.1,959.0
43.1,959.0
43.1,959.0
43.1,959.9
43.1,959.9
43.1,959.9
43.1,959.9
43.1,961.0
43.1,961.0
43.1,961.0
43.1,961.7
43.1,961.7
43.0,961.7
43.1,962.4
43.0,962.4
43.0,962.4
43.0,962.4
43.1,963.1
43.1,963.1
43.1,963.1
43.2,964.1
43.2,964.1
43.2,964.1
43.2,964.3
43.3,964.8
43.3,964.8
43.2,964.8
43.2,965.4
43.2,965.4
43.2,965.4
43.2,966.3
43.2,966.3
43.2,966.3
43.1,966.3
43.1,967.3
43.1,967.3
43.1,967.3
43.1,967.4
43.1,967.9
43.0,967.9
43.0,967.9
43.0,968.4
43.0,968.4
43.0,968.4
42.9,968.4
43.0,969.1
42.9,969.1
42.9,969.1
42.9,969.1
42.9,969.6
42.9,969.6
42.9,969.6
42.9,970.3
42.9,970.3
42.8,970.3
42.9,971.2
42.9,971.2
42.8,971.2
42.8,971.5
42.9,971.8
42.8,971.8
42.8,971.8
42.8,972.9
42.8,972.9
42.8,972.9
42.8,973.7
42.8,973.7
42.7,973.7
42.7,973.7
42.7,974.4
42.7,974.4
42.7,974.4
42.7,975.2
42.7,975.2
42.7,975.2
42.7,975.8
42.7,975.8
42.7,975.8
42.6,976.1
42.7,976.9
42.6,976.9
42.6,976.9
42.6,977.7
42.6,977.7
42.6,977.7
42.6,978.4
42.6,979.2
42.6,979.2
42.6,979.2
42.7,1021.9
42.7,1021.9
42.7,1021.9
42.8,1035.4
42.8,1082.2
42.8,1082.2
42.9,1082.6
42.8,1082.7
42.8,1082.7
42.8,1082.7
42.8,1083.0
42.8,1083.0
42.8,1083.0
42.8,1083.5
42.8,1083.5
42.8,1083.5
42.8,1084.3
42.8,1084.3
42.8,1084.3
42.8,1084.3
42.8,1084.9
42.8,1084.9
42.7,1084.9
42.7,1085.0
42.8,1085.5
42.8,1085.5
42.7,1085.5
42.8,1085.5
42.8,1085.6
42.8,1085.6
42.7,1085.6
42.7,1085.6
42.6,1085.6
42.6,1085.7
42.6,1085.7
