CPU(%),RAM(MB)
4.7,45.2
4.2,45.6
3.7,45.6
3.4,45.7
3.0,45.7
2.7,45.7
2.6,45.7
2.4,45.7
2.2,45.7
2.2,45.7
2.0,45.7
2.3,46.3
2.5,46.4
2.6,46.4
2.8,46.4
2.7,46.5
2.7,46.5
2.9,53.5
3.2,53.5
3.7,53.5
3.9,53.5
4.1,53.5
4.3,54.0
4.5,54.0
4.6,54.0
4.7,54.0
4.8,54.0
4.9,54.0
5.0,54.0
5.0,54.0
5.1,55.7
5.1,55.7
5.2,55.7
5.2,55.7
5.3,55.7
5.3,55.7
5.3,55.7
5.3,55.8
5.4,55.8
5.4,55.8
5.4,55.8
5.4,55.8
5.5,55.8
5.5,55.8
5.5,55.8
5.5,55.8
5.6,55.8
5.6,55.8
5.7,57.6
5.7,57.6
5.7,57.6
5.8,57.6
5.7,57.6
5.8,57.6
5.8,57.6
5.8,57.6
5.8,57.6
5.9,58.1
5.9,58.1
5.9,58.1
5.9,58.2
6.0,58.2
6.0,58.2
6.0,58.2
5.9,58.2
6.0,58.2
6.0,58.9
6.0,58.9
6.0,58.9
6.1,59.3
6.1,59.3
6.1,59.3
6.2,59.3
6.1,59.3
6.1,59.3
6.1,59.3
6.1,59.3
6.1,59.3
6.1,59.3
6.1,59.3
6.1,59.3
6.1,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.3
6.3,59.5
6.3,59.5
6.3,59.5
6.3,59.5
6.3,59.5
6.2,59.5
6.2,59.5
6.2,59.5
6.2,59.5
6.2,59.5
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.3,59.8
6.4,59.9
6.4,59.9
6.4,59.9
6.4,59.9
6.4,59.9
6.4,59.9
6.4,59.9
6.4,59.9
6.4,59.9
6.4,59.9
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.4,60.0
6.5,60.0
6.4,60.0
6.4,60.0
6.4,60.0
6.4,60.0
6.4,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.6,60.0
6.6,60.0
6.6,60.0
6.6,60.0
6.5,60.0
6.6,60.0
6.5,60.0
6.5,60.0
6.5,60.0
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.6,60.3
6.7,60.4
6.7,60.4
6.6,60.4
6.6,60.4
6.6,60.4
6.6,60.4
6.6,60.4
6.6,60.4
6.6,60.4
6.6,58.7
6.7,58.8
6.7,58.8
6.7,58.8
6.7,58.8
6.7,58.8
6.7,58.8
6.7,58.8
6.6,58.8
6.7,58.8
6.7,58.8
6.7,58.9
6.7,58.9
6.7,58.9
6.7,58.9
6.7,58.9
6.7,58.9
6.7,58.9
6.7,58.9
6.7,58.9
6.7,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.8,58.9
6.9,58.9
6.9,58.9
6.9,58.9
6.9,58.9
6.9,58.9
6.9,58.9
6.9,58.9
6.9,58.9
6.9,58.9
7.0,58.9
7.0,58.9
7.0,58.9
7.0,58.9
7.0,59.0
7.0,59.0
7.0,59.0
7.0,59.0
7.0,59.0
7.1,59.0
7.1,59.0
7.1,59.0
7.1,59.0
7.1,59.1
7.1,59.1
7.1,59.1
7.1,59.1
7.1,59.1
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.1,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.1,59.3
7.2,59.3
7.1,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.2,59.3
7.3,59.3
7.3,59.3
7.3,59.3
7.3,59.3
7.3,59.3
7.3,59.3
7.3,59.3
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.3,61.4
7.4,61.5
7.3,61.5
7.3,61.5
7.4,61.5
7.4,61.5
7.4,61.5
7.4,61.5
7.4,61.5
7.4,62.4
7.4,62.4
7.4,62.4
7.4,62.4
7.4,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.4,62.4
7.4,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.4,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.3,62.4
7.4,62.4
7.4,62.4
7.4,62.4
7.3,62.4
7.4,62.4
7.3,62.4
7.4,62.4
7.3,62.4
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
7.4,62.5
